id_appuntamento,id_cliente,id_servizio,data,ora,stato,prezzo_pagato,metodo_pagamento
1,54,5,2024-08-01,10:15:00,Completato,12.0,Contanti
2,3,5,2024-08-02,16:30:00,Completato,12.0,Contanti
3,50,3,2024-08-02,18:45:00,Completato,12.0,Carta
4,86,2,2024-08-03,09:00:00,Completato,26.0,Contanti
5,5,1,2024-08-03,12:45:00,Completato,18.0,Contanti
6,43,3,2024-08-03,19:30:00,Cancellato,0.0,
7,45,2,2024-08-06,12:30:00,Completato,26.0,Carta
8,23,1,2024-08-06,16:30:00,Completato,16.2,Carta
9,80,2,2024-08-07,17:15:00,Completato,26.0,Contanti
10,47,2,2024-08-07,17:45:00,Completato,26.0,Contanti
11,26,2,2024-08-08,09:45:00,Completato,26.0,Carta
12,57,2,2024-08-08,10:00:00,Completato,26.0,Carta
13,70,3,2024-08-08,10:00:00,Completato,12.0,Contanti
14,65,1,2024-08-09,10:45:00,Completato,18.0,Carta
15,10,6,2024-08-09,12:00:00,No-show,0.0,
16,15,2,2024-08-09,17:30:00,Cancellato,0.0,
17,74,1,2024-08-09,17:45:00,Completato,18.0,Carta
18,52,6,2024-08-10,11:30:00,Completato,10.0,Contanti
19,4,1,2024-08-10,16:30:00,Completato,18.0,Carta
20,55,2,2024-08-13,10:45:00,Completato,26.0,Contanti
21,48,1,2024-08-14,15:00:00,Completato,18.0,Contanti
22,39,2,2024-08-14,17:30:00,Completato,26.0,Carta
23,59,1,2024-08-15,09:30:00,Completato,18.0,Carta
24,32,5,2024-08-15,10:00:00,Completato,12.0,Carta
25,14,8,2024-08-15,12:45:00,Completato,22.0,Satispay
26,41,1,2024-08-16,11:00:00,Completato,18.0,Carta
27,56,1,2024-08-16,16:30:00,Completato,18.0,Carta
28,84,1,2024-08-16,17:45:00,Completato,18.0,Carta
29,72,1,2024-08-16,18:45:00,Completato,18.0,Satispay
30,27,2,2024-08-17,09:30:00,Completato,26.0,Contanti
31,35,1,2024-08-17,10:00:00,Completato,18.0,Contanti
32,66,1,2024-08-17,10:45:00,Completato,18.0,Carta
33,8,5,2024-08-17,11:00:00,Completato,12.0,Carta
34,78,1,2024-08-20,10:45:00,Completato,18.0,Contanti
35,19,2,2024-08-20,11:15:00,Completato,26.0,Carta
36,18,5,2024-08-21,12:30:00,Completato,12.0,Contanti
37,89,1,2024-08-21,12:30:00,Cancellato,0.0,
38,31,1,2024-08-22,12:00:00,Cancellato,0.0,
39,62,1,2024-08-22,16:30:00,Completato,18.0,Satispay
40,9,1,2024-08-22,18:00:00,Completato,18.0,Contanti
41,12,4,2024-08-22,18:45:00,Completato,15.0,Carta
42,58,5,2024-08-23,09:15:00,Completato,12.0,Contanti
43,68,1,2024-08-23,11:00:00,Completato,18.0,Carta
44,22,5,2024-08-23,11:45:00,Completato,9.6,Contanti
45,7,8,2024-08-24,09:15:00,Completato,22.0,Satispay
46,81,5,2024-08-24,11:00:00,Completato,12.0,Contanti
47,51,6,2024-08-24,17:15:00,Completato,10.0,Carta
48,75,6,2024-08-24,18:15:00,Completato,10.0,Carta
49,53,1,2024-08-24,19:45:00,Completato,18.0,Contanti
50,26,2,2024-08-27,10:00:00,Completato,23.4,Satispay
51,30,2,2024-08-27,11:30:00,Completato,26.0,Contanti
52,6,2,2024-08-27,11:45:00,Completato,26.0,Contanti
53,32,5,2024-08-27,15:30:00,Completato,12.0,Contanti
54,85,1,2024-08-27,15:30:00,Completato,18.0,Contanti
55,90,1,2024-08-27,18:45:00,Completato,18.0,Contanti
56,29,2,2024-08-28,11:00:00,Completato,26.0,Contanti
57,82,1,2024-08-28,18:45:00,Completato,18.0,Carta
58,57,2,2024-08-28,19:15:00,Completato,26.0,Carta
59,23,1,2024-08-29,18:15:00,Completato,18.0,Contanti
60,77,1,2024-08-29,18:30:00,Cancellato,0.0,
61,67,5,2024-08-30,11:45:00,Completato,10.8,Contanti
62,69,1,2024-08-30,15:45:00,Completato,18.0,Contanti
63,66,1,2024-08-30,17:30:00,Completato,18.0,Carta
64,80,2,2024-08-30,19:15:00,Completato,26.0,Carta
65,27,1,2024-08-31,10:00:00,Completato,18.0,Carta
66,47,2,2024-08-31,10:30:00,Completato,26.0,Contanti
67,3,5,2024-08-31,11:30:00,Completato,12.0,Carta
68,50,3,2024-08-31,11:30:00,Cancellato,0.0,
69,28,2,2024-08-31,12:45:00,Completato,23.4,Carta
70,73,2,2024-08-31,18:15:00,Completato,26.0,Contanti
71,45,2,2024-09-03,09:45:00,Completato,26.0,Contanti
72,34,8,2024-09-03,10:30:00,Completato,19.8,Contanti
73,64,1,2024-09-04,10:30:00,Completato,18.0,Contanti
74,17,3,2024-09-04,11:00:00,Completato,12.0,Carta
75,71,2,2024-09-04,12:30:00,Completato,26.0,Contanti
76,40,4,2024-09-04,12:45:00,Completato,15.0,Satispay
77,18,5,2024-09-04,15:30:00,Completato,12.0,Satispay
78,24,3,2024-09-04,18:15:00,Completato,12.0,Carta
79,33,1,2024-09-04,18:30:00,Completato,18.0,Carta
80,38,5,2024-09-04,19:00:00,Completato,12.0,Carta
81,52,6,2024-09-05,09:00:00,Completato,9.0,Contanti
82,39,1,2024-09-05,16:15:00,Completato,18.0,Contanti
83,63,7,2024-09-06,09:00:00,Completato,35.0,Carta
84,21,5,2024-09-06,16:15:00,Completato,12.0,Contanti
85,88,2,2024-09-06,16:30:00,Completato,26.0,Carta
86,2,2,2024-09-06,17:45:00,Completato,26.0,Carta
87,37,6,2024-09-06,19:45:00,Completato,10.0,Contanti
88,44,3,2024-09-07,15:45:00,Completato,12.0,Contanti
89,87,4,2024-09-07,18:45:00,Completato,15.0,Satispay
90,36,1,2024-09-07,19:30:00,Completato,18.0,Contanti
91,76,1,2024-09-10,12:45:00,Completato,18.0,Carta
92,54,5,2024-09-10,17:30:00,Completato,12.0,Carta
93,22,2,2024-09-11,15:15:00,Completato,26.0,Carta
94,86,2,2024-09-11,16:15:00,Completato,26.0,Contanti
95,83,2,2024-09-11,18:15:00,Completato,26.0,Satispay
96,11,5,2024-09-11,19:00:00,Completato,12.0,Carta
97,16,2,2024-09-12,12:45:00,Completato,26.0,Carta
98,19,1,2024-09-12,18:15:00,Completato,18.0,Contanti
99,32,5,2024-09-12,18:15:00,Completato,12.0,Satispay
100,42,6,2024-09-12,18:15:00,Completato,10.0,Contanti
101,79,2,2024-09-12,18:15:00,Completato,26.0,Carta
102,60,2,2024-09-12,19:30:00,Completato,26.0,Satispay
103,49,2,2024-09-13,09:00:00,Completato,26.0,Carta
104,89,1,2024-09-13,10:00:00,Cancellato,0.0,
105,20,1,2024-09-13,10:30:00,Completato,18.0,Contanti
106,84,2,2024-09-13,15:45:00,Completato,26.0,Carta
107,1,3,2024-09-13,19:00:00,Completato,12.0,Carta
108,5,1,2024-09-14,09:00:00,Completato,18.0,Satispay
109,4,1,2024-09-14,10:30:00,Completato,18.0,Carta
110,61,2,2024-09-14,10:45:00,Completato,26.0,Contanti
111,13,2,2024-09-14,15:15:00,Completato,26.0,Satispay
112,9,2,2024-09-14,17:00:00,Completato,20.8,Satispay
113,39,2,2024-09-14,18:15:00,Completato,26.0,Contanti
114,46,5,2024-09-14,18:30:00,Completato,12.0,Contanti
115,31,1,2024-09-17,09:30:00,Completato,18.0,Contanti
116,72,1,2024-09-17,18:30:00,Completato,18.0,Carta
117,25,1,2024-09-18,10:30:00,Completato,18.0,Satispay
118,70,3,2024-09-18,11:45:00,Completato,12.0,Contanti
119,12,1,2024-09-18,18:30:00,Completato,16.2,Carta
120,80,2,2024-09-19,11:15:00,Completato,26.0,Carta
121,6,1,2024-09-19,15:15:00,Completato,18.0,Contanti
122,57,2,2024-09-19,15:30:00,Completato,26.0,Satispay
123,85,1,2024-09-19,16:30:00,Completato,18.0,Contanti
124,3,5,2024-09-19,19:15:00,Completato,12.0,Contanti
125,76,1,2024-09-20,11:00:00,Completato,18.0,Contanti
126,48,1,2024-09-20,17:15:00,Completato,18.0,Contanti
127,38,3,2024-09-20,19:15:00,Completato,9.6,Carta
128,90,4,2024-09-21,15:15:00,Completato,15.0,Carta
129,26,2,2024-09-21,16:15:00,Completato,26.0,Carta
130,50,5,2024-09-21,16:15:00,Completato,12.0,Carta
131,8,1,2024-09-21,17:15:00,Cancellato,0.0,
132,22,2,2024-09-21,17:30:00,Completato,26.0,Contanti
133,7,8,2024-09-21,18:00:00,Completato,22.0,Contanti
134,23,1,2024-09-21,18:30:00,Completato,18.0,Carta
135,69,1,2024-09-25,09:30:00,Completato,18.0,Carta
136,21,5,2024-09-25,11:30:00,Completato,12.0,Contanti
137,15,2,2024-09-25,18:30:00,Completato,26.0,Contanti
138,55,7,2024-09-25,18:45:00,Completato,35.0,Carta
139,41,1,2024-09-26,09:45:00,Completato,14.4,Carta
140,92,1,2024-09-26,10:30:00,Completato,18.0,Carta
141,47,2,2024-09-26,10:45:00,Completato,26.0,Carta
142,91,1,2024-09-26,11:30:00,Completato,18.0,Carta
143,5,1,2024-09-26,12:15:00,Completato,18.0,Contanti
144,66,1,2024-09-27,19:00:00,Completato,18.0,Satispay
145,82,1,2024-09-28,09:30:00,Completato,18.0,Contanti
146,13,2,2024-09-28,11:15:00,Completato,26.0,Satispay
147,34,8,2024-09-28,17:15:00,Completato,22.0,Contanti
148,63,1,2024-09-28,17:15:00,Completato,18.0,Carta
149,45,2,2024-09-28,18:00:00,Completato,26.0,Carta
150,36,1,2024-09-28,18:15:00,Completato,18.0,Carta
151,83,2,2024-09-28,19:00:00,Completato,26.0,Carta
152,62,6,2024-10-01,17:00:00,Completato,10.0,Satispay
153,39,2,2024-10-02,09:15:00,Completato,26.0,Contanti
154,27,1,2024-10-02,11:30:00,Completato,18.0,Contanti
155,84,3,2024-10-02,12:45:00,Cancellato,0.0,
156,51,6,2024-10-02,18:15:00,Completato,10.0,Contanti
157,52,6,2024-10-02,19:15:00,Cancellato,0.0,
158,18,4,2024-10-02,19:45:00,Completato,15.0,Carta
159,64,2,2024-10-03,12:45:00,Completato,26.0,Contanti
160,74,2,2024-10-03,16:15:00,Completato,26.0,Contanti
161,78,1,2024-10-03,17:45:00,Completato,18.0,Contanti
162,44,3,2024-10-03,19:00:00,No-show,0.0,
163,32,5,2024-10-04,11:45:00,Completato,12.0,Satispay
164,95,2,2024-10-04,16:15:00,Completato,26.0,Contanti
165,65,1,2024-10-05,09:00:00,Completato,18.0,Contanti
166,73,2,2024-10-05,15:30:00,Completato,23.4,Contanti
167,38,3,2024-10-05,16:30:00,Completato,10.8,Contanti
168,80,2,2024-10-08,10:30:00,Completato,26.0,Carta
169,1,1,2024-10-08,17:00:00,Completato,18.0,Carta
170,40,1,2024-10-08,18:30:00,Completato,18.0,Contanti
171,23,1,2024-10-09,17:00:00,Completato,18.0,Contanti
172,16,2,2024-10-10,10:15:00,Completato,26.0,Carta
173,19,6,2024-10-10,11:30:00,Completato,10.0,Contanti
174,59,3,2024-10-10,15:30:00,Completato,9.6,Satispay
175,28,1,2024-10-10,18:30:00,Completato,18.0,Carta
176,58,5,2024-10-10,18:30:00,Completato,12.0,Satispay
177,57,2,2024-10-10,18:45:00,Completato,26.0,Contanti
178,26,1,2024-10-11,09:00:00,Completato,18.0,Satispay
179,52,6,2024-10-11,10:45:00,Completato,9.0,Satispay
180,81,5,2024-10-11,11:15:00,Completato,12.0,Carta
181,56,6,2024-10-11,11:30:00,Completato,10.0,Contanti
182,48,1,2024-10-11,12:00:00,Completato,18.0,Contanti
183,7,8,2024-10-11,12:30:00,Cancellato,0.0,
184,30,2,2024-10-11,17:00:00,Completato,26.0,Contanti
185,36,1,2024-10-11,17:45:00,Completato,18.0,Carta
186,62,6,2024-10-11,18:00:00,Completato,10.0,Carta
187,89,1,2024-10-11,19:00:00,Completato,18.0,Contanti
188,6,2,2024-10-12,09:45:00,No-show,0.0,
189,50,3,2024-10-12,10:45:00,Completato,12.0,Carta
190,69,1,2024-10-12,12:15:00,Completato,18.0,Carta
191,71,2,2024-10-12,15:30:00,Completato,26.0,Contanti
192,63,1,2024-10-12,18:45:00,Completato,18.0,Carta
193,4,1,2024-10-12,19:15:00,Completato,18.0,Carta
194,93,1,2024-10-12,19:15:00,Completato,18.0,Contanti
195,42,6,2024-10-15,11:45:00,Completato,10.0,Satispay
196,98,3,2024-10-15,18:00:00,Completato,12.0,Carta
197,97,1,2024-10-15,18:45:00,Completato,16.2,Contanti
198,70,3,2024-10-16,18:45:00,Completato,12.0,Contanti
199,68,1,2024-10-17,10:15:00,Completato,18.0,Carta
200,96,1,2024-10-17,10:15:00,Completato,18.0,Contanti
201,25,1,2024-10-17,17:45:00,Completato,18.0,Contanti
202,54,6,2024-10-17,18:30:00,Completato,10.0,Satispay
203,27,1,2024-10-19,09:45:00,Completato,16.2,Contanti
204,49,2,2024-10-19,11:45:00,Completato,26.0,Contanti
205,95,2,2024-10-19,11:45:00,Completato,26.0,Satispay
206,76,2,2024-10-19,16:00:00,Completato,26.0,Satispay
207,13,2,2024-10-19,16:15:00,Completato,23.4,Contanti
208,31,1,2024-10-19,16:30:00,Completato,16.2,Contanti
209,22,2,2024-10-19,17:00:00,Completato,26.0,Contanti
210,34,1,2024-10-19,17:30:00,Completato,18.0,Carta
211,79,2,2024-10-19,19:45:00,Completato,26.0,Carta
212,37,6,2024-10-22,11:30:00,Completato,10.0,Carta
213,9,2,2024-10-22,12:00:00,Completato,26.0,Contanti
214,32,5,2024-10-22,17:30:00,Completato,12.0,Carta
215,55,7,2024-10-23,17:45:00,Completato,35.0,Carta
216,91,1,2024-10-23,19:30:00,Completato,18.0,Satispay
217,87,4,2024-10-24,18:45:00,Completato,15.0,Carta
218,18,5,2024-10-25,09:15:00,Completato,12.0,Carta
219,83,2,2024-10-25,15:30:00,Completato,26.0,Carta
220,84,1,2024-10-25,18:00:00,Completato,18.0,Carta
221,94,2,2024-10-26,10:15:00,Completato,26.0,Contanti
222,46,5,2024-10-26,12:30:00,Completato,12.0,Carta
223,66,2,2024-10-26,15:30:00,Completato,26.0,Carta
224,21,1,2024-10-26,16:00:00,Completato,18.0,Carta
225,24,3,2024-10-26,16:45:00,Completato,10.8,Carta
226,5,1,2024-10-26,18:00:00,Completato,18.0,Contanti
