categoria,nome,prezzo,durata_min
Servizio - Tagli uomo,Taglio Uomo Stilista,20.00,
Servizio - Tagli uomo,Taglio Uomo Dirett,22.00,
Servizio - Tagli uomo,Taglio Uomo Studente,20.00,
Servizio - Tagli,Taglio + Piega Libera Stilista,30.00,
Servizio - Tagli,Taglio Donna Restyl Stilista,0.00,
Servizio - Tagli,Taglio Ripresa Studente,20.00,
Servizio - Tagli,Taglio Pulizia da,10.00,
Servizio - Tagli,Taglio + Piega Lib Studente,38.00,
Servizio - Tagli,Taglio Frangia da,5.00,
Servizio - Tagli,Modelle 30% Sconto,0.00,
Servizio - Tagli,Taglio Ripresa Dirett da,24.00,
Servizio - Tagli,Taglio Ripresa Stilista,0.00,
Servizio - Tagli,Taglio Re-Stile Studenti,16.00,
Servizio - Tagli,Taglio Re-Stile Dirett,25.00,
Servizio - Tagli,Taglio + AS Lib,38.00,
Servizio - Colore,Colpi Sole Cap Lungo da,70.00,
Servizio - Colore,Riflesso o Bagno Luce,18.00,
Servizio - Colore,Colore Ricresc. 60 ml,30.00,
Servizio - Colore,Colore Uomo da,33.00,
Servizio - Colore,Colore Fashion,40.00,
Servizio - Colore,Decoloraz da,40.00,
Servizio - Colore,Colpi di Sole Ricresc.,60.00,
Servizio - Colore,Colore Cap Lungo da,35.00,
Servizio - Colore,Colore Semiperm da,30.00,
Servizio - Colore,Colpi di Sole Parz da,25.00,
Servizio - Colore,Sciatusc da,25.00,
Servizio - Colore,Colore Ricresc. 75 ml,33.00,
Servizio - Colore,Colore Ricresc. 90 ml,35.00,
Servizio - Colore,Fashion Color da,40.00,
Servizio - Colore,Tecnica Cap Corto,90.00,
Servizio - Colore,Tecnica Cap Lungo,120.00,
Servizio - Colore,Gloss Cap Corto da,15.00,
Servizio - Colore,Gloss Cap Lungo,20.00,
Servizio - Colore,Colpi di Sole Completi,60.00,
Servizio - Colore,Simless,100.00,
Servizio - Trattamenti,Trattam 5 + Protopak da,15.00,
Servizio - Trattamenti,Tratt Ricostruz.,11.00,
Servizio - Trattamenti,Tratt Caduta da,10.00,
Servizio - Trattamenti,Tratt Anticr da,5.00,
Servizio - Trattamenti,Tratt. Luce Omaggio,0.00,
Servizio - Trattamenti,Botox da,20.00,
Servizio - Trattamenti,SC con Tratt dopo Colore,8.00,
Servizio - Trattamenti,Maschera Curativa,10.00,
Servizio - Trattamenti,Impacco Ricostruzione,15.00,
Servizio - Trattamenti,Tratt Int Davines,20.00,
Servizio - Trattamenti,Tratt Int Gold Davines,25.00,
Servizio - Trattamenti,Tratt Acido Ialuronico,25.00,
Servizio - Trattamenti,Luminazione Davines,12.00,
Servizio - Trattamenti,Filler Davines,5.00,
Servizio - Trattamenti,Tratt. Specifici Davines,8.00,
Servizio - Permanenti,Permanente Cap Corto da,50.00,
Servizio - Permanenti,Perm Parz da,32.00,
Servizio - Permanenti,Relax Cap Cort da,31.00,
Servizio - Permanenti,Relax Cap Lungo da,0.00,
Servizio - Permanenti,Relax da,50.00,
Servizio - Permanenti,Perman Cap Lungo da,65.00,
Servizio - Pieghe,Piega Capello Corto,18.00,
Servizio - Pieghe,Piega Capello Lungo da,19.00,
Servizio - Pieghe,Piega Elab da,20.00,
Servizio - Pieghe,Acconciatura da,30.00,
Servizio - Pieghe,Acconciatura Sposa da,130.00,
Servizio - Pieghe,Treccine da,0.00,
